[1031/191318.286:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[1101/110542.124:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1101/124947.457:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125057.511:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125102.547:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125107.552:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125112.571:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125117.585:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125122.609:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125127.615:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125132.631:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125137.646:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125142.659:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125147.666:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125152.674:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125157.688:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125202.696:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125207.711:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125212.721:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125217.725:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125222.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125227.753:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125232.758:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125237.770:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125242.789:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125247.802:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125252.814:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125257.825:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125302.831:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125307.847:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125312.862:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125317.867:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125322.885:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125327.891:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125332.908:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125337.918:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125342.925:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125347.933:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125352.950:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125357.964:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125402.972:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125407.988:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125413.007:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125418.082:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125423.115:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125428.124:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125433.139:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1101/125438.265:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1103/164932.258:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
